 189  2257  8574192E603T                                                                                                                                                  3
 190  2269  87514296E30T                                                                                                                                                  1
 191  2281  781524693E0T                                                                                                                                                  E
 192  2293  8712564390ET                                                                                                                                                  3
 193  2305  817524693E0T                                                                                                                                                  1
 194  2317  1872564390ET                                                                                                                                                  3
 195  2329  178524693E0T                                                                                                                                                  1
 196  2341  7182564390ET                                                                                                                                                  3
 197  2353  1728653409ET                                                                                                                                                  E
 198  2365  127683504E9T                                                                                                                                                  1
 199  2377  2178653409ET                                                                                                                                                  3
 200  2389  271683504E9T                                                                                                                                                  1
 201  2401  7218653409ET                                                                                                                                                  3
 202  2413  712683504E9T                                                                                                                                                  1
 203  2425  176238054E9T                                                                                                                                                  90E
 204  2437  7163208459ET                                                                                                                                                  3
 205  2449  761238054E9T                                                                                                                                                  1
 206  2461  6713208459ET                                                                                                                                                  3
 207  2473  617238054E9T                                                                                                                                                  1
 208  2485  1673280459ET                                                                                                                                                  367
 209  2497  6137024895ET                                                                                                                                                  ?
 210  2509  631074298E5T                                                                                                                                                  1
 211  2521  3617024895ET                                                                                                                                                  3
 212  2533  316074298E5T                                                                                                                                                  1
 213  2545  1367024895ET                                                                                                                                                  3
 214  2557  163074298E5T                                                                                                                                                  1
 215  2569  610347928E5T                                                                                                                                                  90E
 216  2581  1604397825ET                                                                                                                                                  3
 217  2593  106347928E5T                                                                                                                                                  1
 218  2605  0164397825ET                                                                                                                                                  3
 219  2617  061347928E5T                                                                                                                                                  1
 220  2629  6014397825ET                                                                                                                                                  3
 221  2641  0641938752ET                                                                                                                                                  E
 222  2653  046918357E2T                                                                                                                                                  1
 223  2665  4061938752ET                                                                                                                                                  3
 224  2677  460918357E2T                                                                                                                                                  1
 225  2689  6401938752ET                                                                                                                                                  3
 226  2701  604918357E2T                                                                                                                                                  1
 227  2713  06948153E72T                                                                                                                                                  E
 228  2725  6098451E327T                                                                                                                                                  3
 229  2737  69048153E72T                                                                                                                                                  1
 230  2749  9608451E327T                                                                                                                                                  3
 231  2761  90648153E72T                                                                                                                                                  1
 232  2773  0968451E327T                                                                                                                                                  3
 233  2785  908654E1237T                                                                                                                                                  E
 234  2797  98056E42173T                                                                                                                                                  1
 235  2809  890654E1237T                                                                                                                                                  3
 236  2821  80956E42173T                                                                                                                                                  1
 237  2833  089654E1237T                                                                                                                                                  3
 238  2845  09856E42173T                                                                                                                                                  1
 239  2857  9058E624713T                                                                                                                                                  E
 240  2869  095E8267431T                                                                                                                                                  3
 241  2881  0598E624713T                                                                                                                                                  1
 242  2893  509E8267431T                                                                                                                                                  3
 243  2905  5908E624713T                                                                                                                                                  1
 244  2917  950E8267431T                                                                                                                                                  3
 245  2929  59E02876341T                                                                                                                                                  E
 246  2941  5E920783614T                                                                                                                                                  1
 247  2953  E5902876341T                                                                                                                                                  3
 248  2965  E9520783614T                                                                                                                                                  1
 249  2977  9E502876341T                                                                                                                                                  3
 250  2989  95E20783614T                                                                                                                                                  1
 251  3001  592E7038164T                                                                                                                                                  E
 252  3013  9527E301846T                                                                                                                                                  3
 253  3025  925E7038164T                                                                                                                                                  1
 254  3037  2957E301846T                                                                                                                                                  3
 255  3049  259E7038164T                                                                                                                                                  1
 256  3061  5297E301846T                                                                                                                                                  3
 257  3073  25793E10486T                                                                                                                                                  E
 258  3085  275391E4068T                                                                                                                                                  1
 259  3097  72593E10486T                                                                                                                                                  3
 260  3109  752391E4068T                                                                                                                                                  1
 261  3121  57293E10486T                                                                                                                                                  3
 262  3133  527391E4068T                                                                                                                                                  1
 263  3145  2537194E608T                                                                                                                                                  E
 264  3157  52317496E80T                                                                                                                                                  3
 265  3169  5327194E608T                                                                                                                                                  1
 266  3181  35217496E80T                                                                                                                                                  3
 267  3193  3257194E608T                                                                                                                                                  1
 268  3205  23517496E80T                                                                                                                                                  3
 269  3217  321547698E0T                                                                                                                                                  E
 270  3229  3124567890ET                                                                                                                                                  1
 271  3241  132547698E0T                                                                                                                                                  3
 272  3253  1234567890ET                                                                                                                                                  1
 273  3265  1234567890ET                                                                                                                                                  =
 274  3277  1234567890ET                                                                                                                                                  =
 275  3289  1234567890ET                                                                                                                                                  =
 276  3301  1234567890ET                                                                                                                                                  =
