Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
3,40420,40470.3,40469.4,40482.1,39981.3
4,40670,40682.3,40681.3,40691.9,40196
5,40830,40894.3,40893.2,40901.8,40410.7
6,41070,41106.3,41105.2,41111.6,40625.4
7,41290,41318.3,41317.1,41321.4,40840.1
8,41480,41530.4,41529,41531.2,41054.8
9,41720,41742.4,41740.9,41741,41269.5
10,41940,41954.4,41952.8,41950.9,41484.2
11,42140,42166.4,42164.7,42160.7,41698.9
12,42510,42378.4,42376.7,42370.5,41913.6
1,42620,42590.5,42588.6,42580.3,42128.3
2,42860,42802.5,42800.5,42790.1,42343
3,43020,43014.5,43012.4,43000,42557.7
4,43280,43226.5,43224.3,43209.8,42772.4
5,43470,43438.5,43436.2,43419.6,42987.1
6,43630,43650.6,43648.2,43629.4,43201.7
7,43820,43862.6,43860.1,43839.3,43416.4
8,44050,44074.6,44072,44049.1,43631.1
9,44260,44286.6,44283.9,44258.9,43845.8
10,44440,44498.7,44495.8,44468.7,44060.5
11,44680,44710.7,44707.7,44678.5,44275.2
12,45010,44922.7,44919.7,44888.4,44489.9
1,45190,45332.5,45335.7,45318.3,44919.3
2,45480,45544.6,45547.5,45530.9,45134
3,45700,45756.8,45759.3,45743.6,45348.7
4,45960,45968.9,45971.1,45956.2,45563.4
5,46140,46181.1,46182.9,46168.9,45778.1
6,46390,46393.2,46394.7,46381.5,45992.8
7,46650,46605.4,46606.5,46594.2,46207.5
8,46830,46817.5,46818.3,46806.8,46422.2
9,47100,47029.7,47030,47019.5,46636.9
10,47250,47241.8,47241.8,47232.1,46851.6
11,47380,47454,47453.6,47444.8,47066.3
12,47790,47666.1,47665.4,47657.4,47281
1,47830,47878.3,47877.2,47870.1,47495.7
2,48080,48090.4,48089,48082.7,47710.4
3,48290,48302.6,48300.8,48295.4,47925.1
4,48530,48514.7,48512.6,48508,48139.8
5,48740,48726.9,48724.4,48720.7,48354.5
6,48910,48939,48936.1,48933.3,48569.2
7,49150,49151.2,49147.9,49146,48783.9
8,49370,49363.3,49359.7,49358.6,48998.6
9,49580,49575.5,49571.5,49571.3,49213.3
10,49770,49787.6,49783.3,49783.9,49427.9
11,49990,49999.8,49995.1,49996.6,49642.6
12,50230,50211.9,50206.9,50209.2,49857.3
2,50730,50707.6,50694.1,50743.5,50286.7
1,51030,50922.3,50907.5,50956.8,50501.4
3,51270,51137.1,51121,51170,50716.1
5,51400,51351.8,51334.5,51383.3,50930.8
4,51660,51566.6,51548,51596.5,51145.5
7,51770,51781.3,51761.5,51809.8,51360.2
6,52020,51996.1,51974.9,52023,51574.9
9,52180,52210.8,52188.4,52236.2,51789.6
8,52430,52425.6,52401.9,52449.5,52004.3
11,52590,52640.4,52615.4,52662.7,52219
10,52830,52855.1,52828.8,52876,52433.7
12,53140,53069.9,53042.3,53089.2,52648.4
2,53300,53284.6,53255.8,53302.5,52863.1
3,53470,53499.4,53469.3,53515.7,53077.8
1,53860,53714.1,53682.8,53728.9,53292.5
4,54000,53928.9,53896.2,53942.2,53507.2
5,54240,54143.6,54109.7,54155.4,53721.9
6,54370,54358.4,54323.2,54368.7,53936.6
7,54580,54573.2,54536.7,54581.9,54151.3
8,54800,54787.9,54750.1,54795.2,54366
9,54990,55002.7,54963.6,55008.4,54580.7
10,55070,55217.4,55177.1,55221.6,54795.4
11,55350,55432.2,55390.6,55434.9,55010.1
12,55620,55646.9,55604.1,55648.1,55224.8
3,55950,56070.1,56045,56080.5,55654.2
2,56250,56283.1,56258.9,56292.1,55868.8
4,56440,56496.2,56472.8,56503.7,56083.5
1,56690,56709.2,56686.7,56715.4,56298.2
6,56940,56922.2,56900.5,56927,56512.9
5,57210,57135.3,57114.4,57138.6,56727.6
8,57380,57348.3,57328.3,57350.2,56942.3
7,57660,57561.3,57542.2,57561.9,57157
10,57670,57774.4,57756.1,57773.5,57371.7
9,57890,57987.4,57970,57985.1,57586.4
11,58150,58200.4,58183.9,58196.7,57801.1
12,58530,58413.5,58397.7,58408.4,58015.8
3,58680,58626.5,58611.6,58620,58230.5
4,58970,58839.5,58825.5,58831.6,58445.2
2,59160,59052.6,59039.4,59043.2,58659.9
1,59170,59265.6,59253.3,59254.8,58874.6
6,59250,59478.6,59467.2,59466.5,59089.3
8,59670,59691.7,59681,59678.1,59304
5,59960,59904.7,59894.9,59889.7,59518.7
10,60060,60117.7,60108.8,60101.3,59733.4
7,60350,60330.7,60322.7,60313,59948.1
11,60540,60543.8,60536.6,60524.6,60162.8
9,60800,60756.8,60750.5,60736.2,60377.5
12,60970,60969.8,60964.3,60947.8,60592.2
4,61470,61420.8,61397.9,61429.7,61021.6
3,61700,61633,61611.8,61641.4,61236.3
6,61920,61845.2,61825.8,61853.1,61451
2,62120,62057.4,62039.7,62064.9,61665.7
8,62240,62269.6,62253.6,62276.6,61880.4
